Document_Index,Assigned_Topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28
23,-1,6.098351351445637e-29,4.229266721393861e-29,0.3457542378371182,4.9430353956460895e-29,1.0587675924237317e-29,4.014241479886106e-29,1.6263371053944092e-29,2.5644030152350144e-29,1.8120975655308098e-29,2.5080058783137082e-29,2.996686113234578e-29,2.157083768500466e-29,8.419811892255329e-30,9.306763488022711e-30,0.5312994161477292,3.016613872566214e-29,5.914951561005765e-30,5.557351397440768e-30,9.588630584704704e-30,9.785874567166798e-30,6.397946514297959e-30,1.312221093036924e-29,8.675671652955832e-30,6.458461404281306e-30,1.0256017510886711e-29,4.933522754353948e-30,4.4169110154359786e-31,3.3491543480349025e-30,3.084368918005264e-30
24,-1,0.0004043838073150042,0.00026918634601770725,0.00035626543411446283,0.00032267228359592867,7.143142017438944e-05,0.00025227389430178916,0.0001124142639968106,0.00016707541552073388,0.00012558874929204726,0.00016935182623320396,0.00022681644039852534,0.00015641215811693733,6.132369950542102e-05,6.083696251632691e-05,0.0003921985015291018,0.13673679030409872,3.896086935295214e-05,3.656592820637102e-05,6.032888460648821e-05,6.294134317472664e-05,4.2372780079779344e-05,8.91103840895105e-05,5.749935938018193e-05,4.463294718287604e-05,6.246228976537786e-05,3.40444295695373e-05,3.1985097974740274e-06,2.1062335552314002e-05,2.1417038954046926e-05
25,5,0.00014783156331339237,0.00010413944111576882,7.71668552385294e-05,0.00014992174072982076,4.342250710123776e-05,0.8341191922784307,4.833163181306903e-05,6.954107448605273e-05,4.777584599708329e-05,6.848218488980198e-05,9.020902303447632e-05,5.7686181702810204e-05,2.5618486323438867e-05,2.392196172888453e-05,6.06653558182584e-05,2.8332344045463572e-05,1.387295389779367e-05,1.4852549607282555e-05,2.5898090197374656e-05,3.4010001529864764e-05,1.750226745480482e-05,3.342200303349325e-05,2.4061948701750356e-05,2.2455175789517265e-05,1.6960528174360114e-05,1.542642614916825e-05,2.836698411532343e-06,8.646207953170126e-06,9.472354611311805e-06
26,14,4.994043289666834e-29,4.69277470765782e-29,5.883201450919727e-29,5.238508765087478e-29,1.0087701122676926e-29,3.83309857625871e-29,1.7675467525900056e-29,2.896354211953822e-29,1.9173577931873391e-29,2.3837240673509674e-29,3.06904753412045e-29,1.946953736332484e-29,8.797633368201705e-30,9.145663509256954e-30,0.9705708860936996,1.5338534464813606e-29,7.114553740569676e-30,6.192545942110517e-30,8.91530752195033e-30,1.0771079800553194e-29,5.897788430003432e-30,1.0687976959932677e-29,8.200155195927393e-30,6.45745318108418e-30,7.29095488516204e-30,6.1645786364053835e-30,1.4586057987495243e-30,2.8538996182902066e-30,3.370439951585647e-30
27,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999994406221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-1,2.8163809548820216e-15,5.020743536704873e-15,1.6518469754734342e-15,5.534651080238797e-15,5.692982646575011e-16,2.6039389183952775e-15,1.7164338013773619e-15,3.2694818300952523e-15,0.6290363421595356,1.5707833146765994e-15,3.5631324399375864e-15,1.3415063712604284e-15,1.1460629924057504e-15,8.021699719129644e-16,1.1504584272910738e-15,5.942843368217225e-16,3.8218071673165894e-16,8.710345015817971e-16,5.423793315171038e-16,5.663916191770845e-16,4.1249122516751037e-16,5.411269773701427e-16,6.069934269682944e-16,6.339384392750868e-16,3.2747818314865974e-16,4.225914860577988e-16,4.578255622684753e-17,1.6121562015836793e-16,3.941431643336455e-16
29,0,0.9999999991939224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1,1.4189531038750956e-13,0.08674044420421444,7.043585060856913e-15,0.09190915021194145,3.284442912296817e-14,0.04410733545738839,0.05106869145734449,0.07222604926727824,0.043884095203495115,5.4082769121056577e-14,0.10440146850047892,5.858082932913663e-14,0.02920683811222341,0.008017836081686509,5.8066593288773504e-15,2.791678778284274e-15,5.945680069593462e-16,0.015473799585626693,1.6439587667163793e-14,4.097683305937289e-14,1.7892716949481774e-14,3.101380908870631e-14,2.3934389979386222e-14,0.015804175483143355,1.680430288273907e-14,4.019005337538527e-15,9.825817839675613e-18,7.826632689557183e-15,0.011279739045813933
31,4,0.0,0.0,0.0,0.0,0.9999999994162845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,10,9.88550755876828e-35,9.456043543958774e-35,5.863371261394459e-35,1.2064829687663859e-34,2.2774601883248025e-35,8.443068022826224e-35,4.950820201058467e-35,6.795883547610235e-35,5.031335975298831e-35,4.861367900611895e-35,0.9756009053297054,4.545611720160182e-35,6.24846262281898e-35,1.9004467509892035e-35,4.4263391771106855e-35,2.519088475907455e-35,1.0931788963642153e-35,1.4903730075202839e-35,1.6671070654387806e-35,2.1524175516053435e-35,1.2109662207813237e-35,2.1334526014048217e-35,1.703848151294375e-35,1.8897517665333747e-35,1.2140097974834943e-35,1.3513554595970815e-35,2.7214275512152146e-36,5.548580897794757e-36,1.0501963928155866e-35
